"Title:","ACT Composite 75th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Center for Education Statistics (2022-09-30). Test Scores - Postsecondary Education: ACT Composite 75th Percentile Score, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-022-008 doi:https://doi.org/10.6068/DP1846849F42F39"
"ColumnCount:",18
"RowCount:",2458

"University of South Carolina-Columbia - South Carolina",31,31,30,30,30,30,29,29,29,29,28,28,28,27
"Pepperdine University - California",31,32,32,31,31,30,30,,,,,,,
"University of Denver - Colorado",31,31,31,30,31,30,30,30,30,30,29,29,28,28
"Patrick Henry College - Virginia",31,32,,,,,,,,,,,,
"New Jersey Institute of Technology - New Jersey",31,31,30,30,29,29,29,29,29,,,,,
"Becker College - Massachusetts",31,24,25,26,26,25,25,24,24,20,25,18,19,
"Muhlenberg College - Pennsylvania",31,31,30,30,30,,,31,31,31,30,29,29,30
"Bay Path University - Massachusetts",31,25,,25,25,,23,22,25,23,26,21,21,22
"Missouri University of Science and Technology - Missouri",31,32,31,31,31,31,31,31,31,31,31,30,31,30
"Bentley University - Massachusetts",31,31,32,31,30,30,30,30,29,29,28,29,28,27
"University of San Francisco - California",30,29,29,28,28,28,28,27,27,27,27,27,27,26
"University of Dallas - Texas",30,30,29,31,30,30,30,30,29,30,30,29,29,29
"Seattle University - Washington",30,30,30,29,30,29,29,29,29,28,29,28,28,27
"Mount Holyoke College - Massachusetts",30,,32,33,,,,,,,,,,
"University of South Florida - Florida",30,30,30,29,28,28,28,28,28,27,28,28,27,26
"Kettering University - Michigan",30,30,30,29,29,29,29,29,29,30,29,29,28,28
"The University of the South - Tennessee",30,30,,,,,,30,30,30,30,30,33,29
"University of Connecticut-Avery Point - Connecticut",30,24,25,24,24,25,25,26,27,24,23,25,25,25
"Seton Hall University - New Jersey",30,29,28,28,27,27,27,27,27,26,25,27,,27
"The New School - New York",30,30,30,28,28,,27,28,27,27,26,26,26,27
"Marquette University - Wisconsin",30,29,30,29,29,30,29,29,29,29,29,29,29,29
"Drake University - Iowa",30,31,30,30,30,30,30,30,29,29,29,29,29,28
"Fairfield University - Connecticut",30,30,,,,,,,,,27,27,28,
"Embry-Riddle Aeronautical University-Daytona Beach - Florida",30,,,28,,,,27,28,28,27,27,27,26
"Elon University - North Carolina",30,30,30,29,29,29,29,26,29,29,29,28,28,28
"New Mexico Institute of Mining and Technology - New Mexico",30,29,29,29,29,29,29,29,29,28,28,29,29,29
"New Saint Andrews College - Idaho",30,,28,,28,,,27,30,28,28,31,31,28
"Belmont University - Tennessee",30,29,29,29,29,28,29,29,29,29,29,28,28,28
"New College of Florida - Florida",30,31,31,30,31,31,30,30,31,31,30,31,30,30
"Southern California Institute of Architecture - California",30,,,,,29,28,23,27,,,,,27
"SUNY at Purchase College - New York",30,30,28,26,27,27,25,26,27,26,25,26,25,26
"SUNY College of Environmental Science and Forestry - New York",30,28,29,28,27,29,29,27,28,27,27,27,27,25
"New York Institute of Technology - New York",30,29,28,27,27,26,26,24,25,25,24,26,24,24
"Eastern Mennonite University - Virginia",30,26,31,28,28,26,26,25,27,28,28,25,27,27
"Florida Institute of Technology - Florida",30,30,30,29,29,29,30,28,28,28,28,28,28,29
"The College of New Jersey - New Jersey",30,30,30,,30,30,29,,30,29,,,,
"University of the Pacific - California",30,31,30,30,30,29,30,29,29,29,30,28,28,27
"Florida Southern College - Florida",30,29,29,29,29,29,28,27,26,27,25,25,25,25
"Bryant University - Rhode Island",30,29,,,,,,27,26,26,26,26,26,25
